timestamp,market_id,event_id,slug,question,yes_price,no_price,last_trade_price,best_bid,best_ask,spread,price_change_1h,price_change_24h,price_change_1w,price_change_1m,volume,volume_24h,volume_1w,volume_1m,liquidity,competitive,start_date,end_date,is_binary,outcomes,clob_token_ids,category,ob_bid_liquidity,ob_ask_liquidity,ob_imbalance,ob_best_bid,ob_best_bid_size,ob_best_ask,ob_best_ask_size,ob_bid_depth_5,ob_ask_depth_5,ob_bid_levels,ob_ask_levels
2026-04-29T22:34:18.186546,540816,23784,russia-ukraine-ceasefire-before-gta-vi-554,Russia-Ukraine Ceasefire before GTA VI?,0.535,0.465,0.53,0.53,0.54,0.01,,,,,1626607.6017780541,3222.5273749999965,40945.44749200002,219854.4376320002,65616.7843,0.9987764987889834,2025-05-02T15:48:00.174Z,2026-07-31T12:00:00Z,True,"['Yes', 'No']","[""8501497159083948713316135768103773293754490207922884688769443031624417212426"", ""2527312495175492857904889758552137141356236738032676480522356889996545113869""]",Global Politics,25477.11,1058786.32,-0.953,0.01,2051442.12,0.99,1031235.06,2127208.8,1061416.89,34.0,30.0
2026-04-29T22:34:18.186585,540817,23784,new-rhianna-album-before-gta-vi-926,New Rihanna Album before GTA VI?,0.585,0.415,0.59,0.58,0.59,0.01,,0.035,-0.07,-0.03,705141.4095930014,512.195265,4462.226974000002,28642.857654000003,28585.1253,0.9928268261808434,2025-05-02T15:48:10.582Z,2026-07-31T12:00:00Z,True,"['Yes', 'No']","[""98022490269692409998126496127597032490334070080325855126491859374983463996227"", ""53831553061883006530739877284105938919721408776239639687877978808906551086026""]",Pop Culture,,,,,,,,,,,
2026-04-29T22:34:18.186600,540818,23784,new-playboi-carti-album-before-gta-vi-421,New Playboi Carti Album before GTA VI?,0.52,0.48,0.53,0.51,0.53,0.02,,0.065,-0.015,-0.065,731874.9842779477,116.177417,3285.2384809999958,20738.44655999998,22763.0854,0.9996001599360256,2025-05-02T15:48:10.837Z,2026-07-31T12:00:00Z,True,"['Yes', 'No']","[""88275040060084773376557187972215267513049848642895776801789297917961077894224"", ""94376205816022955542979635542279932967359915765455578534002478996104754801969""]",Pop Culture,,,,,,,,,,,
2026-04-29T22:34:18.186613,540819,23784,will-jesus-christ-return-before-gta-vi-665,Will Jesus Christ return before GTA VI?,0.485,0.515,0.48,0.48,0.49,0.01,,,,,11152935.637421958,7924.271049000001,35934.85347199996,803544.1167350222,368895.3815,0.9997750506136119,2025-05-02T15:48:16.854Z,2026-07-31T12:00:00Z,True,"['Yes', 'No']","[""90435811253665578014957380826505992530054077692143838383981805324273750424057"", ""92388629082681805622801622703528982922543286352927708208755887536971583436902""]",Pop Culture,28183.22,75137.55,-0.4545,0.01,10021.47,0.99,34620.16,713131.87,49015.09,32.0,26.0
2026-04-29T22:34:18.186625,540820,23784,trump-out-as-president-before-gta-vi-846,Trump out as President before GTA VI?,0.515,0.485,0.52,0.51,0.52,0.01,,,,-0.02,627470.7412160091,752.276423,28381.663150000004,65966.159732,70787.6398,0.9997750506136119,2025-05-02T15:48:17.107Z,2026-07-31T12:00:00Z,True,"['Yes', 'No']","[""108999723207897941876452935557011604067917389120996960199512481363958770540884"", ""64533579809297525579033609963634939501013332859992608996100633472507000251907""]",Politics,,,,,,,,,,,
2026-04-29T22:34:18.186636,540843,23784,will-china-invades-taiwan-before-gta-vi-716,Will China invades Taiwan before GTA VI?,0.505,0.495,0.5,0.5,0.51,0.01,,,,-0.01,1804191.172070062,620.703918,7898.141390999998,285694.713766999,33894.6392,0.9999750006249843,2025-05-02T15:48:16.6Z,2026-07-31T12:00:00Z,True,"['Yes', 'No']","[""21695138873211375451055566770107682325494206727818897067665810321709249824909"", ""17516427576383382756368467656206258206490015951115433065318503962238754362428""]",Global Politics,4001.18,47064.42,-0.8433,0.01,10020.44,0.99,6025.71,39532.61,29992.91,28.0,28.0
2026-04-29T22:34:18.186648,540844,23784,will-bitcoin-hit-1m-before-gta-vi-872,Will bitcoin hit $1m before GTA VI?,0.4895,0.5105,0.49,0.489,0.49,0.001,,0.002,-0.006,0.001,4069226.2191745364,13450.34664199998,55406.09344100019,268766.3539299996,128263.05569,0.9998897621537226,2025-05-02T15:48:17.361Z,2026-07-31T12:00:00Z,True,"['Yes', 'No']","[""105267568073659068217311993901927962476298440625043565106676088842803600775810"", ""91863162118308663069733924043159186005106558783397508844234610341221325526200""]",Crypto,18389.22,11208953.2,-0.9967,0.001,11089144.24,0.999,11040805.6,13091393.63,11066837.03,55.0,43.0
2026-04-29T22:34:18.186666,540881,23792,gta-vi-released-before-june-2026,GTA VI released before June 2026?,0.0125,0.9875,0.013,0.012,0.013,0.001,,-0.001,-0.0005,-0.0095,13897460.231589029,16973.070433999997,186696.36295799984,950126.7450219999,57897.289,0.8079787905567479,2025-05-02T17:00:26.233Z,2026-05-31T12:00:00Z,True,"['Yes', 'No']","[""8441400852834915183759801017793514978104486628517653995211751018945988243154"", ""109289569086508934142323222102974769075074494425163878721602922903101062859033""]",Pop Culture,300.42,4450692.52,-0.9999,0.001,96800.0,0.999,4340810.71,132429.78,4427818.09,11.0,51.0
2026-04-29T22:34:18.186680,544092,24383,will-harvey-weinstein-be-sentenced-to-no-prison-time,Will Harvey Weinstein be sentenced to no prison time?,0.414,0.586,0.249,0.378,0.45,0.072,0.109,-0.126,0.017,0.15,324462.1868130015,209.660475,3737.15528,31587.911442999957,1084.53145,0.9926582992189765,2025-05-12T22:50:41.123Z,2025-12-31T12:00:00Z,True,"['Yes', 'No']","[""24327803960645909378149041810697343640752122608192367041827900158592826352552"", ""86488478623677188352872801318507143761188967461168408688159600382919967378486""]",,,,,,,,,,,,
2026-04-29T22:34:18.186693,544093,24383,will-harvey-weinstein-be-sentenced-to-less-than-5-years-in-prison,Will Harvey Weinstein be sentenced to less than 5 years in prison?,0.036,0.964,0.033,0.035,0.037,0.002,0.001,-0.074,0.0015,-0.061,111672.53400400029,632.86,9677.943445000015,62276.137951000186,798.28386,0.8228448048870399,2025-05-12T22:50:42.117Z,2025-12-31T12:00:00Z,True,"['Yes', 'No']","[""77166477669007661974218999697956080000161736671391584414287437514245884953047"", ""47055352475798285920984907840917431698812931301054546103955312973973172985230""]",,,,,,,,,,,,
