url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://navbharattimes.indiatimes.com/world/america/donald-trump-ready-to-contest-us-presidential-election-for-the-fourth-time-after-sharing-ai-picture/articleshow/125659194.cms,https://navbharattimes.indiatimes.com/world/america/donald-trump-ready-to-contest-us-presidential-election-for-the-fourth-time-after-sharing-ai-picture/amp_articleshow/125659194.cms,"Donald Trump Latest News , डोनाल्ड ट्रंप चौथी बार अमेरिकी राष्ट्रपति चुनाव लड़ने को तैयार , जानें AI तस्वीर शेयर कर क्या लिखा - donald trump ready to contest us presidential election for the fourth time after sharing ai picture",20251129T151500Z,https://static.langimg.com/nbt/thumb/125659224/us-election-2028.jpg?imgsize=69154&resizemode=75,navbharattimes.indiatimes.com,Hindi,India
https://news.china.com/socialgd/10000169/20251225/49107834.html,,特朗普支持的候选人胜选 ， 美国督促洪都拉斯各方接受选举结果 局势复杂化 _ 新闻频道 _ 中华网,20251225T034500Z,,news.china.com,Chinese,China
https://navbharattimes.indiatimes.com/world/other-countries/honduran-election-donald-trump-backed-nasry-asfura-declared-winner-of-presidential-vote/articleshow/126169001.cms,https://navbharattimes.indiatimes.com/world/other-countries/honduran-election-donald-trump-backed-nasry-asfura-declared-winner-of-presidential-vote/amp_articleshow/126169001.cms,"Nasry Asfura Honduran Presidential Election , होंडुरास में काम कर गई डोनाल्ड ट्रंप की धमकी ! नसरी असफुरा ने जीता राष्ट्रपति चुनाव - honduran election donald trump backed nasry asfura declared winner of presidential vote - Other countries News",20251225T023000Z,https://static.langimg.com/nbt/thumb/126168995/honduras-election.jpg?imgsize=62322&resizemode=75,navbharattimes.indiatimes.com,Hindi,India
https://military.china.com/news/13004177/20251215/49077042.html,,特朗普  鸟枪换炮  愿望又要落空 泽连斯基巧妙回应选举提议 _ 军事频道 _ 中华网,20251215T084500Z,,military.china.com,Chinese,China
https://indianexpress.com/article/world/how-the-dismissed-2020-election-case-in-georgia-could-shape-the-midterms-10397034/,https://indianexpress.com/article/world/how-the-dismissed-2020-election-case-in-georgia-could-shape-the-midterms-10397034/lite/,How the dismissed 2020 election case in Georgia could shape the midterms,20251202T031500Z,https://images.indianexpress.com/2025/12/georgia-postal-election.jpg,indianexpress.com,English,India
https://www.wenxuecity.com/news/2025/12/01/126432383.html,,洪都拉斯大选初步结果公布 ， 特朗普支持候选人领先,20251202T044500Z,https://www.wenxuecity.com/data/news/202512/02/d69164602bce121d6e19d7c0dee6cc04.webp,wenxuecity.com,Chinese,China
https://news.ifeng.com/c/8oi1QsAJZuo,,赦免前总统 、 威胁断援助 ， 特朗普图谋干预洪都拉斯大选,20251130T124500Z,https://x0.ifengimg.com/ucms/2025_49/196AD69E363398E7A5E83FD1800A7D954024CD7F_size27_w596_h336.jpg,news.ifeng.com,Chinese,China
https://www.bostonglobe.com/2025/12/01/nation/dismissed-2020-election-case-georgia-could-shape-midterms/,,A dismissed 2020 election case in Georgia could shape the midterms,20251201T230000Z,https://bostonglobe-prod.cdn.arcpublishing.com/resizer/v2/LYECIWDSXLMRN7M4BVYEIFAPVE.jpg?auth=e1c5273d400cd1b79cc97526d030af16013a59c4479a16d3e522050deb16fc9f,bostonglobe.com,English,United States
https://www.yahoo.com/news/articles/case-against-trump-attempted-election-203136812.html,,Case against Trump for attempted election fraud in 2020 dropped,20251126T210000Z,https://media.zenfs.com/en/dpa_international_526/bf8bcb93f71a5f4307532b7fb4627eb1,yahoo.com,English,United States
https://news.china.com/socialgd/10000169/20251222/49096535.html,,巴西学者称不排除特朗普会干预巴西大选 _ 新闻频道 _ 中华网,20251222T024500Z,,news.china.com,Chinese,China
https://www3.nhk.or.jp/nhkworld/en/news/20251127_10/,,Trump election interference case dropped by Georgia prosecutor,20251127T071500Z,https://www3.nhk.or.jp/nhkworld/upld/thumbnails/en/news/20251127_10_1594982_L.jpg,nhk.or.jp,English,Japan
