date,views
2025-12-28,45498
2025-12-29,45412
2025-12-30,46836
2025-12-31,47285
2026-01-01,53038
2026-01-02,62097
2026-01-03,150712
2026-01-04,108670
2026-01-05,97652
2026-01-06,103264
2026-01-07,91411
2026-01-08,96981
2026-01-09,101013
2026-01-10,96407
2026-01-11,90764
2026-01-12,783904
2026-01-13,379084
2026-01-14,226573
2026-01-15,185049
2026-01-16,164583
2026-01-17,147486
2026-01-18,123813
2026-01-19,123939
2026-01-20,131458
2026-01-21,146528
2026-01-22,130175
2026-01-23,127339
2026-01-24,103699
2026-01-25,100838
2026-01-26,94032
